suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
klause-bench/smoke-corpus/dimacs,bipartite-2col,false,,true,true,510,10000,dimacs,sat,0,6,true
klause-bench/smoke-corpus/dimacs,implication-chain,false,,true,true,487,10000,dimacs,sat,0,5,true
klause-bench/smoke-corpus/dimacs,php3,false,,false,true,459,10000,dimacs,sat,0,9,true
klause-bench/smoke-corpus/dimacs,php4,false,,false,true,665,10000,dimacs,sat,0,45,true
klause-bench/smoke-corpus/dimacs,random3sat-20-80,false,,true,true,477,10000,dimacs,sat,0,80,true
klause-bench/smoke-corpus/dimacs,random3sat-50-200,false,,true,true,528,10000,dimacs,sat,0,200,true
klause-bench/smoke-corpus/opb,pb-cardinality,false,,true,true,474,10000,opb,pseudo-boolean,0,1,true
klause-bench/smoke-corpus/opb,queens4-soft,false,,,false,10000,10000,,,,,
klause-bench/smoke-corpus/opb,setcover-tiny,false,4.0,true,true,533,10000,opb,pseudo-boolean,0,4,true
klause-bench/smoke-corpus/opb,sporttournament06,false,,,false,10000,10000,,,,,
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir03_trarea_ac,false,26710.0,true,false,20390,20000,opb,pseudo-boolean,0,2406,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir04_trarea_ac,false,43905.0,true,false,20344,20000,opb,pseudo-boolean,0,3356,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir05_trarea_ac,false,49790.0,true,false,20350,20000,opb,pseudo-boolean,0,1775,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir06_trarea_ac,false,33894.0,true,false,20380,20000,opb,pseudo-boolean,0,8611,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir07_trarea_ac,false,58165.0,true,false,20338,20000,opb,pseudo-boolean,0,4880,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir08_trarea_ac,false,81928.0,true,false,20394,20000,opb,pseudo-boolean,0,51199,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir09_trarea_ac,false,63184.0,true,false,20336,20000,opb,pseudo-boolean,0,8605,true
pb07-other,OPT-BIGINT-LIN/submittedPB07/aksoy/trarea_ac/normalized-fir10_trarea_ac,false,80458.0,true,false,20365,20000,opb,pseudo-boolean,0,55587,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir03_trarea_ac,false,12820.0,true,false,20426,20000,opb,pseudo-boolean,0,2406,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir04_trarea_ac,false,13730.0,true,false,20336,20000,opb,pseudo-boolean,0,3356,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir05_trarea_ac,false,24893.0,true,false,20332,20000,opb,pseudo-boolean,0,1775,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir06_trarea_ac,false,4875.0,true,false,20334,20000,opb,pseudo-boolean,0,8611,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir07_trarea_ac,false,17621.0,true,false,20335,20000,opb,pseudo-boolean,0,4880,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir08_trarea_ac,false,2064.0,true,false,20343,20000,opb,pseudo-boolean,0,51199,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir09_trarea_ac,false,10931.0,true,false,20325,20000,opb,pseudo-boolean,0,8605,true
pb07-other,OPT-SMALLINT-LIN/reduced/submittedPB07/aksoy/trarea_ac/normalized-reduced-fir10_trarea_ac,false,1799.0,true,false,20338,20000,opb,pseudo-boolean,0,55587,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir01_area_delay,false,5.0,true,true,351,20000,opb,pseudo-boolean,0,225,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir02_area_delay,false,8.0,true,true,867,20000,opb,pseudo-boolean,0,1924,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir03_area_delay,false,11.0,true,false,20336,20000,opb,pseudo-boolean,0,9891,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir04_area_delay,false,15.0,true,false,20362,20000,opb,pseudo-boolean,0,2073,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir05_area_delay,false,15.0,true,false,20340,20000,opb,pseudo-boolean,0,9386,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir06_area_delay,false,17.0,true,false,20339,20000,opb,pseudo-boolean,0,15856,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir07_area_delay,false,21.0,true,false,20332,20000,opb,pseudo-boolean,0,51714,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir08_area_delay,false,33.0,true,false,20348,20000,opb,pseudo-boolean,0,521621,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir09_area_delay,false,22.0,true,false,20346,20000,opb,pseudo-boolean,0,57801,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_delay/normalized-fir10_area_delay,false,38.0,true,false,20368,20000,opb,pseudo-boolean,0,199673,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_opers/normalized-fir01_area_opers,false,10.0,true,true,364,20000,opb,pseudo-boolean,0,293,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_opers/normalized-fir02_area_opers,false,18.0,true,false,20335,20000,opb,pseudo-boolean,0,2690,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_opers/normalized-fir03_area_opers,false,18.0,true,false,20347,20000,opb,pseudo-boolean,0,14169,true
pb07-other,OPT-SMALLINT-LIN/submittedPB07/aksoy/area_opers/normalized-fir04_area_opers,false,29.0,true,false,20359,20000,opb,pseudo-boolean,0,2784,true
